Respondent,Employment,Country,EdLevel,OrgSize,DevType,YearsCode,Age1stCode,YearsCodePro,CareerSat,JobSat,ConvertedComp,WorkLoc,ImpSyn,Age,Gender,Trans,Sexuality,Ethnicity,Dependents,SurveyLength,SurveyEase
56,Employed full-time,China,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, desktop or enterprise applications",13,19,10,Slightly dissatisfied,Slightly dissatisfied,51150,Home,A little above average,33,Man,No,Straight / Heterosexual,East Asian,Yes,Appropriate in length,Easy
57,Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees",,2,29,Less than 1 year,Very satisfied,Very satisfied,97389,"Other place, such as a coworking space or cafe",Far above average,31,Man,No,Straight / Heterosexual,,No,Appropriate in length,Easy
60,Employed full-time,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,"Developer, back-end;DevOps specialist",10,13,9,Slightly satisfied,Neither satisfied nor dissatisfied,107000,Office,Average,27,Man,No,Bisexual,White or of European descent,No,,
61,Employed full-time,United States,Some college/university study without earning a degree,20 to 99 employees,"Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, mobile;Educator;System administrator",15,10,8,Very satisfied,Very satisfied,66000,Home,Far above average,34,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
62,Employed full-time,Netherlands,Associate degree,"10,000 or more employees","Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Educator;Marketing or sales professional;Student;System administrator",1,11,1,Very satisfied,Slightly dissatisfied,87994,Home,Far above average,19,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
67,Employed full-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",Data or business analyst;Designer,6,14,2,Very satisfied,Very satisfied,36265,Office,A little below average,24,Man,No,Straight / Heterosexual,Multiracial,No,Appropriate in length,Easy
68,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,"Developer, full-stack",9,9,7,Slightly satisfied,Slightly dissatisfied,11194,Office,Far above average,29,Man,No,Straight / Heterosexual,South Asian,No,Appropriate in length,Easy
70,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,"Designer;Developer, full-stack;Educator",28,12,23,Slightly dissatisfied,Slightly dissatisfied,75000,Home,A little above average,42,Man,No,Straight / Heterosexual,,Yes,Appropriate in length,Easy
71,Employed full-time,Philippines,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, full-stack",4,17,Less than 1 year,Very satisfied,Slightly satisfied,4128,Office,A little above average,21,Woman,No,Straight / Heterosexual,East Asian;South Asian,No,Appropriate in length,Easy
74,Employed full-time,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, back-end;Engineer, data;Engineer, site reliability;System administrator",7,15,2,Very satisfied,Very satisfied,114575,Office,Far above average,24,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
75,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, front-end",7,19,7,Slightly dissatisfied,Slightly dissatisfied,17491,Home,Average,27,Woman,No,Straight / Heterosexual,,No,Too long,Neither easy nor difficult
76,Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end;Engineer, data",9,23,5,Slightly satisfied,Very satisfied,39254,Home,Average,32,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Neither easy nor difficult
78,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,"Developer, full-stack",6,19,3,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,7696,Office,Average,25,Man,No,,,Yes,Appropriate in length,Easy
80,Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,"Developer, back-end;Developer, full-stack;DevOps specialist",1,22,1,Slightly satisfied,Very satisfied,,Office,A little above average,24,Man,No,Straight / Heterosexual,Biracial,No,Appropriate in length,Neither easy nor difficult
83,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, full-stack",2,16,Less than 1 year,Very satisfied,Very satisfied,117540,Office,Average,22,Man,No,Straight / Heterosexual,South Asian,No,Appropriate in length,Neither easy nor difficult
84,Employed full-time,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,"Designer;Developer, mobile;Educator;Student",3,20,2,Slightly satisfied,Slightly satisfied,3468,Office,Average,26,Man,No,Straight / Heterosexual,Middle Eastern,No,Too long,Neither easy nor difficult
86,Employed full-time,China,Some college/university study without earning a degree,500 to 999 employees,"Developer, back-end;Developer, front-end;Educator",6,19,3,Slightly dissatisfied,Slightly dissatisfied,16008,Office,Far above average,26,Woman,No,Straight / Heterosexual,,Yes,Too long,Neither easy nor difficult
87,Employed full-time,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, back-end;Developer, front-end",20,15,8,Slightly satisfied,Slightly satisfied,36060,Home,A little above average,36,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
90,Employed full-time,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Developer, front-end;Developer, full-stack;System administrator",6,17,2,Slightly dissatisfied,Very dissatisfied,16788,Home,A little above average,25,Man,No,Straight / Heterosexual,,Yes,Appropriate in length,Easy
92,Employed full-time,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,"Developer, full-stack;Educator",5,30,3,Very satisfied,Very satisfied,57287,Office,A little below average,35,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
94,Employed full-time,United Kingdom,Some college/university study without earning a degree,2-9 employees,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, QA or test;DevOps specialist;System administrator",7,16,5,Neither satisfied nor dissatisfied,Slightly dissatisfied,43180,Home,A little above average,27,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
95,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, full-stack;DevOps specialist;Engineer, data",11,19,8,Very satisfied,Very satisfied,110000,Office,Far above average,30,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
97,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Educator;Engineer, data",7,10,6,Slightly dissatisfied,Slightly satisfied,66750,Office,A little above average,25,"Non-binary, genderqueer, or gender non-conforming",Yes,Bisexual,White or of European descent,No,Appropriate in length,Easy
100,Employed full-time,Canada,Some college/university study without earning a degree,20 to 99 employees,"Developer, back-end;Developer, front-end;Developer, full-stack;Product manager",33,7,20,Very satisfied,Very satisfied,229016,Home,A little above average,39,Woman,No,Bisexual,White or of European descent,No,Appropriate in length,Easy
102,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees","Developer, full-stack",8,29,5,Slightly satisfied,Slightly satisfied,2000000,Office,Average,37,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
104,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Developer, front-end;Developer, full-stack",7,21,7,Slightly satisfied,Very dissatisfied,2169,Home,A little above average,29,Man,No,Straight / Heterosexual,South Asian,Yes,Appropriate in length,Easy
109,Employed full-time,Croatia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack",14,27,12,Very satisfied,Very satisfied,46368,Home,Far above average,41,Man,,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
110,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,10,16,4,Slightly satisfied,Slightly satisfied,100000,Office,Far above average,26,Man,No,Straight / Heterosexual,South Asian,No,Too long,Easy
111,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test;System administrator",41,12,35,Very satisfied,Slightly satisfied,,Home,A little above average,54,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
114,Employed full-time,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end",8,17,3,Very satisfied,Very satisfied,53437,Office,A little above average,26,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
115,Employed full-time,Sweden,Associate degree,100 to 499 employees,"Developer, full-stack",6,13,Less than 1 year,Very satisfied,Very satisfied,39768,"Other place, such as a coworking space or cafe",Average,21,Man,No,Straight / Heterosexual,,No,Appropriate in length,Neither easy nor difficult
116,Employed full-time,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees","Developer, back-end;Engineer, data",15,15,9,Very satisfied,Very satisfied,103117,Home,A little above average,31,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
117,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test;Engineering manager",16,17,11,Very satisfied,Slightly dissatisfied,26000,Home,Average,38,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
118,Employed full-time,Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end;Developer, embedded applications or devices",8,19,3,Slightly satisfied,Slightly satisfied,35518,Home,Far above average,26,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
119,Employed full-time,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end;Developer, mobile",10,24,6,Slightly dissatisfied,Slightly dissatisfied,,Office,A little above average,28,Man,No,,,Yes,Appropriate in length,Easy
120,Employed full-time,South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Data or business analyst;Developer, back-end",8,16,2,Very satisfied,Very satisfied,21612,Office,A little above average,26,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
124,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Developer, back-end;Developer, full-stack;DevOps specialist",7,18,3,Very satisfied,Very satisfied,9095,Office,Far above average,27,Man,No,Bisexual,South Asian,,Too long,Easy
126,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, full-stack;DevOps specialist;System administrator",8,18,1,Slightly satisfied,Slightly satisfied,60000,Office,Average,32,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
128,Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,"Developer, QA or test;DevOps specialist",14,14,10,Very satisfied,Very satisfied,1000000,"Other place, such as a coworking space or cafe",Far above average,30,Man,No,Bisexual,White or of European descent,Yes,Too long,Easy
129,Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)","1,000 to 4,999 employees","Academic researcher;Data scientist or machine learning specialist;Educator;Engineer, data;Scientist",16,17,11,Very satisfied,Slightly satisfied,62000,Office,Far below average,34,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
130,Employed full-time,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, game or graphics",13,10,6,Slightly satisfied,Slightly satisfied,13116,Office,A little above average,23,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina,No,Appropriate in length,Easy
135,Employed full-time,Russian Federation,Associate degree,"10,000 or more employees","Developer, front-end",6,19,4,Very satisfied,Slightly satisfied,32196,Office,Far above average,32,Man,No,Straight / Heterosexual,White or of European descent,No,Too long,Easy
139,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;System administrator",7,14,2,Slightly satisfied,Very satisfied,70000,Home,A little above average,24,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
140,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,"Developer, mobile",4,16,4,Slightly satisfied,Slightly satisfied,7556,Home,Far above average,25,Man,No,Straight / Heterosexual,,,Too long,Easy
144,Employed part-time,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,"Developer, full-stack",20,10,20,Neither satisfied nor dissatisfied,Slightly satisfied,54996,Home,A little below average,47,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
147,Employed full-time,Argentina,Some college/university study without earning a degree,100 to 499 employees,"Developer, back-end;Developer, full-stack",10,20,5,Slightly dissatisfied,Neither satisfied nor dissatisfied,17280,Home,Average,,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina,No,Appropriate in length,Easy
148,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end;Developer, front-end;Developer, full-stack",7,19,5,Very satisfied,Slightly satisfied,135000,Home,A little above average,28,Woman,No,Gay or Lesbian,Black or of African descent,No,Appropriate in length,Neither easy nor difficult
151,Employed full-time,Romania,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, mobile;DevOps specialist",16,10,13,Slightly satisfied,Slightly satisfied,54996,Home,Far above average,34,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too short,Easy
155,Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,"Developer, back-end;Developer, front-end",17,18,10,Very satisfied,Very satisfied,962424,Office,A little above average,34,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
157,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,"Developer, full-stack",8,16,4,Slightly satisfied,Slightly satisfied,960000,Home,A little above average,25,Man,No,Straight / Heterosexual,East Asian,No,Appropriate in length,Easy
158,Employed full-time,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Developer, full-stack",16,14,10,Slightly satisfied,Very satisfied,47244,Office,Far above average,29,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too short,Easy
159,Employed full-time,South Africa,,2-9 employees,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist;System administrator",24,11,15,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,65424,Home,A little above average,35,Man,No,Straight / Heterosexual,,No,Appropriate in length,Easy
163,Employed full-time,Iran,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, full-stack",3,Younger than 5 years,3,Slightly satisfied,Slightly dissatisfied,9120,Home,Average,32,Woman,No,Straight / Heterosexual,Middle Eastern,Yes,Too long,Difficult
164,Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees","Developer, full-stack",23,10,20,Very satisfied,Slightly satisfied,62807,Home,Average,47,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
166,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end;Developer, front-end;Developer, full-stack",7,15,6,Slightly satisfied,Slightly satisfied,2000000,Home,A little above average,30,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
173,Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees","Developer, back-end;Developer, full-stack",8,14,7,Very satisfied,Slightly satisfied,77911,Office,Far above average,31,Man,No,Straight / Heterosexual,White or of European descent,,Too long,Neither easy nor difficult
174,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Developer, full-stack;DevOps specialist;Engineering manager",7,17,2,Slightly satisfied,Slightly satisfied,2016,Home,A little above average,24,Man,No,Straight / Heterosexual,South Asian,Yes,Too long,Neither easy nor difficult
176,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, QA or test",15,18,8,Very satisfied,Very satisfied,,Home,A little above average,31,Man,No,Straight / Heterosexual,East Asian,Yes,Appropriate in length,Easy
177,Employed full-time,Australia,Some college/university study without earning a degree,20 to 99 employees,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, full-stack;Developer, mobile;Student",5,16,2,Slightly satisfied,Slightly satisfied,36265,Office,A little below average,22,Man,No,Straight / Heterosexual,White or of European descent,No,Too long,Neither easy nor difficult
179,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Database administrator;Developer, back-end;Developer, front-end;Developer, mobile;Product manager",6,15,3,Very satisfied,Slightly dissatisfied,70000,"Other place, such as a coworking space or cafe",A little above average,35,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
181,Employed full-time,Argentina,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Developer, front-end",12,18,9,Slightly satisfied,Very satisfied,84000,Home,A little above average,29,Woman,No,Bisexual,Hispanic or Latino/Latina,No,Too long,Neither easy nor difficult
183,Employed full-time,Hungary,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, desktop or enterprise applications;Developer, mobile",11,6,7,Slightly satisfied,Neither satisfied nor dissatisfied,46913,Office,Far above average,30,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
184,Employed full-time,Latvia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile",5,18,4,Slightly satisfied,Slightly satisfied,40101,Office,A little above average,29,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
188,Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees","Data or business analyst;Engineer, data",10,18,7,Very satisfied,Very satisfied,65424,Office,A little above average,28,Man,No,Straight / Heterosexual,South Asian,No,Appropriate in length,Easy
189,Employed full-time,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,"Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Engineer, data",6,12,3,Slightly dissatisfied,Slightly satisfied,61172,"Other place, such as a coworking space or cafe",Average,28,Man,No,Straight / Heterosexual,East Asian,No,Too long,Neither easy nor difficult
190,Employed full-time,United Arab Emirates,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Developer, back-end;Developer, full-stack",8,18,4,Slightly satisfied,Slightly satisfied,24504,Office,A little above average,27,Man,No,Straight / Heterosexual,,Yes,Appropriate in length,Neither easy nor difficult
191,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist",10,10,5,Very satisfied,Slightly satisfied,90000,Home,A little above average,27,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
192,Employed full-time,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,"Data scientist or machine learning specialist;Developer, full-stack;Scientist",6,13,2,Slightly dissatisfied,Slightly dissatisfied,28860,Office,A little above average,28,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
194,Employed full-time,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,"Developer, back-end;Developer, embedded applications or devices",11,17,5,Very satisfied,Slightly satisfied,12828,Office,A little above average,29,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
